[2016-07-01 19:29:36] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:29:36] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:29:36] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:29:37] error.ERROR: [42:SQLSTATE[42S22]: Column not found: 1054 Unknown column 'consumer_money' in 'field list' (SQL: select `consumer_money`, `money`, `today_money` from `user_profit` where `user_id` = 6 limit 1)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:29:37] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:35:15] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:35:15] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:35:15] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:35:15] error.ERROR: [516:Failed opening controller script /Users/zhouhong/xianrou/yaframe/application/controllers/Favicon.ico.php: No such file or directory]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
[2016-07-01 19:36:57] error.ERROR: [42:SQLSTATE[42S02]: Base table or view not found: 1146 Table 'db_social.user_consumer' doesn't exist (SQL: select `consumer_user_id`, `money` from `user_consumer` where `user_id` = 6 and `status` = 1 order by `money` desc limit 10)]	[/Users/zhouhong/xianrou/yaframe/application/controllers/Error.php:19] [] []
